system,n_gt,n_hyp,n_matched,label_recall,label_precision,start_mae_ms,end_mae_ms,boundary_mae_ms,dur_mae_ms,mean_iou,tbe_20ms,tbe_50ms,singer,canonical_stem
MFA,22,20,22,1.0,1.1,57.363636363636374,82.81818181818177,70.09090909090907,130.09090909090912,0.6053479448568482,0.5454545454545454,0.18181818181818182,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0000
MFA,41,41,38,0.926829268292683,0.926829268292683,51.86842105263165,76.28947368421049,64.07894736842107,113.94736842105263,0.6120148326068171,0.6052631578947368,0.3157894736842105,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0001
MFA,20,19,18,0.9,0.9473684210526315,161.99999999999997,102.66666666666671,132.33333333333334,250.6666666666667,0.5696386355442389,0.7222222222222222,0.4444444444444444,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0002
MFA,18,16,12,0.6666666666666666,0.75,161.00000000000003,186.66666666666666,173.83333333333334,315.00000000000006,0.44410573296141304,0.9166666666666666,0.75,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0003
MFA,40,37,30,0.75,0.8108108108108109,78.93333333333327,75.59999999999997,77.26666666666662,111.7333333333333,0.5575486802034336,0.7666666666666667,0.4666666666666667,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0004
MFA,23,23,22,0.9565217391304348,0.9565217391304348,81.90909090909089,67.72727272727273,74.81818181818181,123.09090909090907,0.5509090166730812,0.5454545454545454,0.45454545454545453,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0005
MFA,21,21,11,0.5238095238095238,0.5238095238095238,191.54545454545453,327.3636363636364,259.45454545454544,473.63636363636346,0.5904613809742143,0.6363636363636364,0.36363636363636365,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0006
MFA,21,21,17,0.8095238095238095,0.8095238095238095,192.58823529411762,186.3529411764706,189.47058823529417,369.0588235294118,0.34720269575278284,0.9411764705882353,0.7647058823529411,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0007
MFA,32,34,27,0.84375,0.7941176470588235,134.74074074074068,102.29629629629626,118.51851851851849,202.88888888888886,0.5481939985708867,0.5925925925925926,0.37037037037037035,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0008
MFA,13,12,12,0.9230769230769231,1.0,89.16666666666661,392.0833333333333,240.62499999999997,466.0833333333331,0.5794398212683444,0.4166666666666667,0.25,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0009
MFA,22,22,22,1.0,1.0,37.09090909090906,35.54545454545449,36.31818181818178,60.81818181818182,0.6537271988179265,0.5454545454545454,0.2727272727272727,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0010
MFA,19,21,16,0.8421052631578947,0.7619047619047619,110.68749999999993,239.43749999999991,175.0624999999999,292.1249999999999,0.5559737261478588,0.6875,0.5625,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0011
MFA,33,28,32,0.9696969696969697,1.1428571428571428,59.75000000000001,98.75000000000009,79.25000000000004,150.37500000000006,0.6083534445281249,0.5625,0.21875,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0012
MFA,11,11,7,0.6363636363636364,0.6363636363636364,233.85714285714283,346.8571428571428,290.35714285714283,578.4285714285713,0.5106339896662482,0.8571428571428571,0.5714285714285714,EN-Alto-1,en-alto-1_breathy_all_is_found_breathy_group_0013
MFA,22,21,20,0.9090909090909091,0.9523809523809523,114.15000000000009,193.39999999999992,153.775,300.75000000000017,0.5970517180396022,0.65,0.25,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0000
MFA,41,41,39,0.9512195121951219,0.9512195121951219,47.89743589743588,78.84615384615384,63.37179487179484,117.15384615384622,0.6626833627382309,0.46153846153846156,0.3076923076923077,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0001
MFA,20,19,20,1.0,1.0526315789473684,32.59999999999994,35.099999999999945,33.84999999999994,65.49999999999991,0.7536118241545186,0.45,0.3,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0002
MFA,18,17,15,0.8333333333333334,0.8823529411764706,325.06666666666655,155.53333333333333,240.29999999999993,465.5333333333335,0.47328519701326116,0.8,0.5333333333333333,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0003
MFA,40,40,40,1.0,1.0,119.925,78.42500000000004,99.17500000000003,159.50000000000006,0.5459097733370116,0.6,0.425,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0004
MFA,23,24,22,0.9565217391304348,0.9166666666666666,30.000000000000004,24.136363636363615,27.06818181818181,49.49999999999999,0.7351677966202683,0.3181818181818182,0.13636363636363635,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0005
MFA,21,21,14,0.6666666666666666,0.6666666666666666,358.78571428571416,167.71428571428558,263.2499999999999,486.49999999999983,0.5630885503396903,0.5,0.42857142857142855,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0006
MFA,21,21,21,1.0,1.0,34.04761904761903,31.714285714285698,32.880952380952365,55.76190476190478,0.6835191817837781,0.42857142857142855,0.23809523809523808,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0007
MFA,32,34,29,0.90625,0.8529411764705882,58.999999999999986,40.68965517241381,49.8448275862069,93.41379310344826,0.661975677521343,0.41379310344827586,0.2413793103448276,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0008
MFA,13,12,12,0.9230769230769231,1.0,75.83333333333334,22.500000000000025,49.166666666666686,81.66666666666673,0.5448267142004911,0.5833333333333334,0.16666666666666666,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0009
MFA,22,21,19,0.8636363636363636,0.9047619047619048,127.52631578947364,218.42105263157904,172.97368421052633,332.1578947368422,0.5595411622025788,0.6842105263157895,0.42105263157894735,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0010
MFA,19,22,15,0.7894736842105263,0.6818181818181818,79.86666666666669,97.93333333333331,88.89999999999996,155.26666666666674,0.6280206829574015,0.7333333333333333,0.4,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0011
MFA,33,28,30,0.9090909090909091,1.0714285714285714,62.16666666666677,74.20000000000003,68.18333333333338,131.36666666666673,0.6172093364914951,0.5333333333333333,0.3,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0012
MFA,11,11,10,0.9090909090909091,0.9090909090909091,229.0999999999999,510.99999999999983,370.04999999999995,713.8999999999999,0.45728570771885957,0.8,0.6,EN-Alto-1,en-alto-1_breathy_all_is_found_control_group_0013
