singer_id,technique,group,song_id,wav_path,tg_path,xml_path,has_textgrid,has_musicxml,gt_lyrics,clean_name,duration_s,duration_h
EN-Tenor-1,mixed_falsetto,technique,0006,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0006.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0006.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0006.musicxml,True,True,i know you will i know you will i know that you will will you still love me,EN-Tenor-1__mixed_falsetto__technique__0006,10.928,0.0030355555555555557
EN-Tenor-1,mixed_falsetto,technique,0005,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0005.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0005.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0005.musicxml,True,True,will you still love me when i got nothing but my aching soul,EN-Tenor-1__mixed_falsetto__technique__0005,7.544,0.0020955555555555554
EN-Tenor-1,mixed_falsetto,technique,0007,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0007.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0007.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0007.musicxml,True,True,when i'm no longer beautiful,EN-Tenor-1__mixed_falsetto__technique__0007,5.755,0.001598611111111111
EN-Tenor-1,mixed_falsetto,technique,0004,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0004.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0004.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0004.musicxml,True,True,will you still love me when i'm no longer young and beautiful,EN-Tenor-1__mixed_falsetto__technique__0004,8.026,0.0022294444444444445
EN-Tenor-1,mixed_falsetto,technique,0003,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0003.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0003.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0003.musicxml,True,True,the crazy days city lights the way you'd play with me like a child,EN-Tenor-1__mixed_falsetto__technique__0003,9.344,0.0025955555555555554
EN-Tenor-1,mixed_falsetto,technique,0001,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0001.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0001.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0001.musicxml,True,True,diamonds brilliant and bel air now,EN-Tenor-1__mixed_falsetto__technique__0001,7.813,0.002170277777777778
EN-Tenor-1,mixed_falsetto,technique,0002,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0002.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0002.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0002.musicxml,True,True,hot summer nights mid july when you and i were forever wild,EN-Tenor-1__mixed_falsetto__technique__0002,9.593,0.0026647222222222224
EN-Tenor-1,mixed_falsetto,technique,0000,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0000.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0000.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Mixed_Voice_Group/0000.musicxml,True,True,i've seen the world done it all had my cake now,EN-Tenor-1__mixed_falsetto__technique__0000,8.563,0.0023786111111111113
EN-Tenor-1,mixed_falsetto,control,0006,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Control_Group/0006.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Control_Group/0006.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Control_Group/0006.musicxml,True,True,i know you will i know you will i know that you will will you still love me,EN-Tenor-1__mixed_falsetto__control__0006,11.109,0.0030858333333333332
EN-Tenor-1,mixed_falsetto,control,0005,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Control_Group/0005.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Control_Group/0005.TextGrid,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Control_Group/0005.musicxml,True,True,will you still love me when i got nothing but my aching soul,EN-Tenor-1__mixed_falsetto__control__0005,7.405,0.0020569444444444446
