clean_name,singer_id,technique,group,group_folder,song,wav_path,tg_path,has_tg,gt_lyrics,gt_lyrics_clean
EN-Alto-1__vibrato__speech__memory__0010,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0010.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0004,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0004.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0005,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0005.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0011,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0011.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0007,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0007.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0013,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0013.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0012,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0012.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0006,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0006.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0002,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0002.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0003,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0003.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0001,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0001.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0000,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0000.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0014,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0014.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0008,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0008.wav,,False,,
EN-Alto-1__vibrato__speech__memory__0009,EN-Alto-1,vibrato,speech,Paired_Speech_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Paired_Speech_Group/0009.wav,,False,,
EN-Alto-1__vibrato__control__memory__0010,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0010.wav,,False,,
EN-Alto-1__vibrato__control__memory__0004,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0004.wav,,False,,
EN-Alto-1__vibrato__control__memory__0005,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0005.wav,,False,,
EN-Alto-1__vibrato__control__memory__0011,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0011.wav,,False,,
EN-Alto-1__vibrato__control__memory__0007,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0007.wav,,False,,
EN-Alto-1__vibrato__control__memory__0013,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0013.wav,,False,,
EN-Alto-1__vibrato__control__memory__0012,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0012.wav,,False,,
EN-Alto-1__vibrato__control__memory__0006,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0006.wav,,False,,
EN-Alto-1__vibrato__control__memory__0002,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0002.wav,,False,,
EN-Alto-1__vibrato__control__memory__0003,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0003.wav,,False,,
EN-Alto-1__vibrato__control__memory__0001,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0001.wav,,False,,
EN-Alto-1__vibrato__control__memory__0000,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0000.wav,,False,,
EN-Alto-1__vibrato__control__memory__0014,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0014.wav,,False,,
EN-Alto-1__vibrato__control__memory__0008,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0008.wav,,False,,
EN-Alto-1__vibrato__control__memory__0009,EN-Alto-1,vibrato,control,Control_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0009.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0010,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0010.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0004,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0004.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0005,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0005.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0011,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0011.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0007,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0007.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0013,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0013.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0012,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0012.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0006,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0006.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0002,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0002.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0003,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0003.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0001,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0001.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0000,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0000.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0014,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0014.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0008,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0008.wav,,False,,
EN-Alto-1__vibrato__technique__memory__0009,EN-Alto-1,vibrato,technique,Vibrato_Group,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0009.wav,,False,,
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0010,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0010.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0010.TextGrid,True,we shall always be as one if you love me for me,we shall always be as one if you love me for me
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0004,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0004.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0004.TextGrid,True,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0005,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0005.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0005.TextGrid,True,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0011,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0011.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0011.TextGrid,True,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0007,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0007.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0007.TextGrid,True,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0012,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0012.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0012.TextGrid,True,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0006,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0006.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0006.TextGrid,True,can you tell my heart is speaking my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0002,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0002.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0002.TextGrid,True,i'd be glad if you loved me for me,id be glad if you loved me for me
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0003,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0003.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0003.TextGrid,True,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0001,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0001.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0001.TextGrid,True,you're a gentle one said she in my heart,youre a gentle one said she in my heart
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0000,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0000.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0000.TextGrid,True,once a lass met a lad,once a lass met a lad
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0008,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0008.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0008.TextGrid,True,hope will blossom by believing the heart that lies within,hope will blossom by believing the heart that lies within
EN-Alto-1__vibrato__speech__if_you_love_me_for_me__0009,EN-Alto-1,vibrato,speech,Paired_Speech_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0009.wav,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0009.TextGrid,True,i'll be yours together,ill be yours together
