tg_path,singer,duration_s,n_tiers,tier_names,n_word,n_phone,n_mix,n_falsetto,n_breathy,n_pharyngeal,n_vibrato,n_glissando,n_global
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0002.TextGrid,EN-Tenor-1,9.242,2,word|phone,32,82,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0000.TextGrid,EN-Tenor-1,6.281,2,word|phone,24,68,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0001.TextGrid,EN-Tenor-1,5.482,2,word|phone,19,64,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0004.TextGrid,EN-Tenor-1,3.961,2,word|phone,15,35,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0006.TextGrid,EN-Tenor-1,3.261,2,word|phone,10,32,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0009.TextGrid,EN-Tenor-1,10.133,2,word|phone,34,91,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0007.TextGrid,EN-Tenor-1,3.061,2,word|phone,11,28,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0003.TextGrid,EN-Tenor-1,7.963,2,word|phone,25,85,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0008.TextGrid,EN-Tenor-1,5.851,2,word|phone,17,49,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Paired_Speech_Group/0005.TextGrid,EN-Tenor-1,4.26,2,word|phone,15,37,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0002.TextGrid,EN-Tenor-1,10.433,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,28,77,77.0,77.0,77.0,77.0,77.0,77.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0000.TextGrid,EN-Tenor-1,7.952,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,22,66,66.0,66.0,66.0,66.0,66.0,66.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0001.TextGrid,EN-Tenor-1,6.783,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,18,63,63.0,63.0,63.0,63.0,63.0,63.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0004.TextGrid,EN-Tenor-1,8.601,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,15,35,35.0,35.0,35.0,35.0,35.0,35.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0006.TextGrid,EN-Tenor-1,7.725,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,10,32,32.0,32.0,32.0,32.0,32.0,32.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0009.TextGrid,EN-Tenor-1,15.661,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,28,82,82.0,82.0,82.0,82.0,82.0,82.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0007.TextGrid,EN-Tenor-1,8.791,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,28,28.0,28.0,28.0,28.0,28.0,28.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0003.TextGrid,EN-Tenor-1,9.124,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,24,84,84.0,84.0,84.0,84.0,84.0,84.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0008.TextGrid,EN-Tenor-1,11.671,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,14,46,46.0,46.0,46.0,46.0,46.0,46.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Control_Group/0005.TextGrid,EN-Tenor-1,8.796,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,15,37,37.0,37.0,37.0,37.0,37.0,37.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0002.TextGrid,EN-Tenor-1,10.466,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,28,78,78.0,78.0,78.0,78.0,78.0,78.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0000.TextGrid,EN-Tenor-1,8.595,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,22,67,67.0,67.0,67.0,67.0,67.0,67.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0001.TextGrid,EN-Tenor-1,6.834,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,19,64,64.0,64.0,64.0,64.0,64.0,64.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0004.TextGrid,EN-Tenor-1,8.542,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,15,35,35.0,35.0,35.0,35.0,35.0,35.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0006.TextGrid,EN-Tenor-1,8.718,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,34,34.0,34.0,34.0,34.0,34.0,34.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0009.TextGrid,EN-Tenor-1,16.345,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,28,82,82.0,82.0,82.0,82.0,82.0,82.0,1.0
