phoneme,dur_ms,f0_mean,f0_std,f0_range,singer_id,technique,has_mix,has_falsetto,has_breathy,has_pharyngeal,has_vibrato,has_glissando
IH1,90.0,227.00092622214405,1.492558801920524,5.415747103613825,EN-Alto-2,glissando,1,0,0,0,0,0
IY1,270.0,266.90621932056087,7.504141767709387,27.158408010879725,EN-Alto-2,glissando,1,0,0,0,0,0
Z,29.999999999999915,240.9850464232899,4.540775556458928,11.072634551205908,EN-Alto-2,glissando,1,0,0,0,0,1
IY0,190.00000000000006,232.48302932332885,2.1198274701541107,6.2947659240903135,EN-Alto-2,glissando,1,0,0,0,0,0
T,40.000000000000036,220.3756050141158,2.312343032579074,6.2344015128635135,EN-Alto-2,glissando,1,0,0,0,0,0
IH0,99.99999999999997,234.48926396645703,4.22710396284268,13.023193782787189,EN-Alto-2,glissando,1,0,0,0,0,0
EY1,581.9999999999999,362.89266698246155,24.868223798989007,57.799371609297964,EN-Alto-2,glissando,1,0,0,0,0,1
<AP>,470.00000000000017,389.83469960248436,2.677389639629396,9.549659241129746,EN-Alto-2,glissando,0,0,0,0,0,0
AH1,40.000000000000036,218.07421491805837,1.126954883502352,2.9141565160701646,EN-Alto-2,glissando,1,0,0,0,0,0
T,29.999999999999805,217.73849006335467,3.354784419756473,8.022311667138638,EN-Alto-2,glissando,1,0,0,0,0,0
N,70.00000000000028,250.21630972221016,9.686086529046548,25.084742157079063,EN-Alto-2,glissando,1,0,0,0,0,0
EH1,209.99999999999997,259.5543354508207,7.451532395016223,34.374765489236864,EN-Alto-2,glissando,1,0,0,0,0,0
V,59.99999999999961,221.81602291834417,3.1683921541013538,7.936780766004176,EN-Alto-2,glissando,1,0,0,0,0,1
ER0,200.00000000000017,231.9155412470371,2.4162020839296092,8.236084189625473,EN-Alto-2,glissando,1,0,0,0,0,0
DH,69.99999999999984,225.855308733001,2.5606356271154547,7.703909966047604,EN-Alto-2,glissando,1,0,0,0,0,0
AH0,60.00000000000006,236.83621972852734,2.110274093929953,5.993756900175526,EN-Alto-2,glissando,1,0,0,0,0,0
EY1,719.9999999999998,338.13369226637263,16.703773938234548,40.79397604408956,EN-Alto-2,glissando,1,0,0,0,0,1
M,150.00000000000034,357.0943547990715,2.975185636721221,8.949706413154047,EN-Alto-2,glissando,1,0,0,0,0,0
AY1,219.99999999999974,369.4824001166363,16.133893757905593,40.98031836367164,EN-Alto-2,glissando,1,0,0,0,0,0
G,30.00000000000025,377.90377177054444,2.081577330108292,4.725932828856571,EN-Alto-2,glissando,1,0,0,0,0,0
EH1,120.00000000000011,395.0296888320106,3.1696515020169684,11.124558238430325,EN-Alto-2,glissando,1,0,0,0,0,0
S,192.00000000000017,397.3857795066709,8.91537274787229,29.475499402358878,EN-Alto-2,glissando,1,0,0,0,0,0
AY1,99.99999999999964,396.48680316029123,1.6322276810463745,4.795451259569518,EN-Alto-2,glissando,1,0,0,0,0,0
IH1,259.9999999999998,376.8441775440076,24.88760625335204,81.94786664140639,EN-Alto-2,glissando,1,0,0,0,0,1
N,30.00000000000025,391.6481916350771,1.0951825538352957,2.6762915764732043,EN-Alto-2,glissando,1,0,0,0,0,0
D,40.000000000000036,394.7618045954338,4.497005737467461,10.852845288513265,EN-Alto-2,glissando,1,0,0,0,0,0
AH0,200.00000000000017,393.4241753675577,2.0915031914164612,8.224171373106174,EN-Alto-2,glissando,1,0,0,0,0,0
L,39.99999999999915,386.81945356259877,1.8202196425065624,4.897177462724244,EN-Alto-2,glissando,1,0,0,0,0,0
AY1,230.00000000000043,376.2618146471216,13.554128668969488,38.70845153849473,EN-Alto-2,glissando,1,0,0,0,0,0
AH0,140.00000000000057,356.3466054086944,1.2530911372460212,4.464427151593668,EN-Alto-2,glissando,1,0,0,0,0,0
W,80.00000000000007,360.9072107820218,7.7275893499201045,22.585988121110177,EN-Alto-2,glissando,1,0,0,0,0,0
EY1,259.9999999999998,365.66785040140286,21.20698906021425,80.91433777653555,EN-Alto-2,glissando,1,0,0,0,0,0
Y,30.00000000000025,307.9653030805624,1.5408077909561109,3.68497535100812,EN-Alto-2,glissando,1,0,0,0,0,0
UW1,29.99999999999936,303.2851392229088,0.8766481278844473,1.863025546428105,EN-Alto-2,glissando,1,0,0,0,0,0
N,200.00000000000017,313.304454396405,3.4336912576487255,15.02828071925137,EN-Alto-2,glissando,1,0,0,0,0,0
AH1,150.00000000000034,316.26972798508893,2.098734565047626,8.776509669880511,EN-Alto-2,glissando,1,0,0,0,0,0
M,109.99999999999943,315.7737185846294,2.388032516598122,7.296957231585168,EN-Alto-2,glissando,1,0,0,0,0,0
D,30.00000000000025,323.95064931850703,2.167531531505721,4.658748658173238,EN-Alto-2,glissando,1,0,0,0,0,0
AA1,219.99999999999974,336.78646954140413,17.70936231053347,43.63688795932967,EN-Alto-2,glissando,1,0,0,0,0,0
