clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis
EN-Tenor-1__pharyngeal__speech__0002,EN-Tenor-1,pharyngeal,speech,i'm falling <SP> in all the good times i find myself longing for change <SP>,unfolling in all the good harms i found myself loning for tange
EN-Tenor-1__pharyngeal__speech__0005,EN-Tenor-1,pharyngeal,speech,ain't it hard keeping it so hardcore <SP> i'm falling <SP>,and the hear keeping ne so hack o'er i'm falling
EN-Tenor-1__pharyngeal__speech__0004,EN-Tenor-1,pharyngeal,speech,aren't you tired tryna fill that void <SP> or do you need more <SP>,un to tired tryin a fiel tha wod or doin me more
EN-Tenor-1__pharyngeal__speech__0001,EN-Tenor-1,pharyngeal,speech,or do you need more is there something else you're searching for <SP>,ot do you need more either something else you are searching for
EN-Tenor-1__pharyngeal__speech__0000,EN-Tenor-1,pharyngeal,speech,<SP> tell me something girl are you happy in this modern world <SP>,tell me something gir are you happy in this modern world
EN-Tenor-1__pharyngeal__speech__0003,EN-Tenor-1,pharyngeal,speech,and in the bad times i fear myself <SP> tell me something boy <SP>,in the bad times i fear myself tell me something boy
EN-Tenor-1__pharyngeal__speech__0006,EN-Tenor-1,pharyngeal,speech,in all the good times i find myself longing for change <SP> and in the bad times i fear myself,in all the good harms i found myself loning for change and in the bad tarms i feared mysel
EN-Tenor-1__pharyngeal__speech__0002,EN-Tenor-1,pharyngeal,speech,there is no fear now let go and just be free,unfolling in all the good harms i found myself loning for tange
EN-Tenor-1__pharyngeal__speech__0001,EN-Tenor-1,pharyngeal,speech,i will love you unconditionally,or do you need more either something else you are searching for
EN-Tenor-1__pharyngeal__speech__0000,EN-Tenor-1,pharyngeal,speech,<SP> unconditional unconditionally <SP>,tell me something gir are you happy in this modern world
EN-Tenor-1__pharyngeal__speech__0003,EN-Tenor-1,pharyngeal,speech,i will love you unconditionally <SP>,in the bad times i fear myself tell me something boy
EN-Tenor-1__pharyngeal__speech__0002,EN-Tenor-1,pharyngeal,speech,vanished when i saw your face <SP> all i can say is <SP> it was,unfolling in all the good harms i found myself loaning for tange
EN-Tenor-1__pharyngeal__speech__0007,EN-Tenor-1,pharyngeal,speech,don't you let it go <SP> i'm wonderstruck <SP> dancing <SP> around all alone <SP>,don't you let it go i'm wonder strack dancin round her all alone
EN-Tenor-1__pharyngeal__speech__0005,EN-Tenor-1,pharyngeal,speech,i'm wonderstruck <SP> blushing all the way home <SP> i'll spend forever,and the hear keeping ne so hack oer i'm falling
EN-Tenor-1__pharyngeal__speech__0004,EN-Tenor-1,pharyngeal,speech,<SP> this night is sparkling <SP> don't you let it go <SP>,un to tired tryin a fiel tha wod or doin me more
EN-Tenor-1__pharyngeal__speech__0008,EN-Tenor-1,pharyngeal,speech,i'll spend forever wondering if you knew <SP> i was enchanted to meet you <SP>,i spend forever wondering if you knew i was enchanted to meet you
EN-Tenor-1__pharyngeal__speech__0001,EN-Tenor-1,pharyngeal,speech,same old tired <SP> lonely place <SP> walls of insincerity <SP> shifting <SP> eyes and vacancy <SP>,ot do you need more either something else you are searching for
EN-Tenor-1__pharyngeal__speech__0000,EN-Tenor-1,pharyngeal,speech,<SP> there i was again tonight <SP> forcing laughter faking smiles <SP>,tell me something gir are you happy in this modern world
EN-Tenor-1__pharyngeal__speech__0003,EN-Tenor-1,pharyngeal,speech,enchanting to meet you <SP>,in the bad times i fear myself tell me something boy
EN-Tenor-1__pharyngeal__speech__0006,EN-Tenor-1,pharyngeal,speech,wondering if you knew <SP> this <SP> night is flawless <SP>,in all the good harms i found myself loning for change and in the bad tarms i feared mysel
EN-Tenor-1__pharyngeal__speech__0002,EN-Tenor-1,pharyngeal,speech,i guess you didn't care and i guess i liked that <SP> and when i fell hard you took a step back <SP>,unfolling in all the good harms i found myself loning for tange
EN-Tenor-1__pharyngeal__speech__0007,EN-Tenor-1,pharyngeal,speech,now <SP> i'm lying on the cold hard ground <SP> trouble trouble trouble <SP>,don't you let it go i'm wonder strack dancin round her all alone
EN-Tenor-1__pharyngeal__speech__0005,EN-Tenor-1,pharyngeal,speech,<SP> i knew you were trouble when you walked in <SP> so shame on me now flew me to places i'd never been <SP>,and the hear keeping ne so hack o'er i'm falling
EN-Tenor-1__pharyngeal__speech__0004,EN-Tenor-1,pharyngeal,speech,and he's long gone <SP> when he's next to me <SP> and i realize the blame is on me,un to tired tryin a fiel tha wod or doin me more
EN-Tenor-1__pharyngeal__speech__0008,EN-Tenor-1,pharyngeal,speech,trouble <SP> trouble trouble <SP> and the saddest fear comes creeping in <SP> that you never loved me or her or anyone <SP> or anything,i spend forever wondering if you knew i was enchanted to meet you
EN-Tenor-1__pharyngeal__speech__0001,EN-Tenor-1,pharyngeal,speech,you found me <SP> you found me <SP> you found me <SP>,ot do you need more either something else you are searching for
