singer_id,technique,atlas_group,group_folder,song,wav_path,gt_lyrics,gt_lyrics_clean,asr_hypothesis,asr_hypothesis_raw,transcription_time_s,model
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0010.wav,we shall always be as one if you love me for me,we shall always be as one if you love me for me,We shall always be as one If you love me for me,We shall always be as one If you love me for me,3.8550808429718018,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0004.wav,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'll be sure if I knew that you loved me for me,I'll be sure if I knew that you loved me for me,1.571275234222412,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0005.wav,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,Could I be the one you're seeking? Will I be the one you choose?,1.9557652473449707,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0011.wav,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise there will be?,Who can say where we'll go? Who can promise there will be?,1.6842336654663086,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0007.wav,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,"What you see may be deceiving, truth lies underneath the skin.","What you see may be deceiving, truth lies underneath the skin.",1.7116236686706543,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0012.wav,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I'll stay by your side if you love me for me,But I'll stay by your side if you love me for me,1.6396193504333496,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0006.wav,can you tell my heart is speaking my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is beaky? My eyes will give you clues.,Can you tell my heart is beaky? My eyes will give you clues.,1.9273412227630615,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0002.wav,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you loved me for me.,I'll be glad if you loved me for me.,1.5821208953857422,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0003.wav,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,You said your love is true and I hope that it will be,You said your love is true and I hope that it will be,1.5336251258850098,large-v2
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0001.wav,you're a gentle one said she in my heart,youre a gentle one said she in my heart,You are gentle when says she in my heart,You are gentle when says she in my heart,1.4513516426086426,large-v2
