singer_id,technique,atlas_group,group_folder,song,gt_lyrics,gt_lyrics_clean,asr_hypothesis,wer,per,wer_S,wer_D,wer_I,wer_n_ref,model
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,we shall always be as one if you love me for me,we shall always be as one if you love me for me,Wish there'll always be a swan if you love me for me,0.3333333333333333,0.25806451612903225,4,0,0,12,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'll be sure if I knew that you loved me for me,0.08333333333333333,0.03571428571428571,1,0,0,12,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,0.0,0.0,0,0,0,14,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise there will be?,0.08333333333333333,0.08823529411764706,1,0,0,12,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,What you see maybe they see me True lies underneath the skin,0.45454545454545453,0.18421052631578946,4,0,1,11,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I stay by your side if you love me for me.,0.08333333333333333,0.06666666666666667,1,0,0,12,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,can you tell my heart is speaking my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is beaky? My eyes will give you clues.,0.07692307692307693,0.10526315789473684,1,0,0,13,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you loved me for me,0.1111111111111111,0.043478260869565216,1,0,0,9,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,You say your love is through and I hope that it will be,0.07692307692307693,0.03125,1,0,0,13,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,you're a gentle one said she in my heart,youre a gentle one said she in my heart,You are gentle when set she in my heart,0.4444444444444444,0.19230769230769232,4,0,0,9,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,once a lass met a lad,once a lass met a lad,Once a last man o' let,0.6666666666666666,0.4,4,0,0,6,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,hope will blossom by believing the heart that lies within,hope will blossom by believing the heart that lies within,Hope will blossom by believing the heart that lies within,0.0,0.0,0,0,0,10,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,<AP> i'll be yours together,ill be yours together,I'll bring us together,0.5,0.35714285714285715,2,0,0,4,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,we shall always be as one if you love me for me,we shall always be as one if you love me for me,We shall always be as one if you love me for me.,0.0,0.0,0,0,0,12,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'd be sure if I knew that you loved me for me.,0.0,0.0,0,0,0,12,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,0.0,0.0,0,0,0,14,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise what we'll be?,0.08333333333333333,0.029411764705882353,1,0,0,12,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,"What you see may be deceiving, Truth lies underneath the skin.",0.0,0.0,0,0,0,11,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I'll stay by your side if you love me for me.,0.0,0.0,0,0,0,12,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,can you tell my heart is speaking <AP> my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is big? My eyes will give you clues.,0.07692307692307693,0.15789473684210525,1,0,0,13,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you love me for me,0.2222222222222222,0.08695652173913043,2,0,0,9,small
